stage,unit_index,unit_kind,unit_label,base_label,sequence_order,theta_value,reference_energy,energy_prefix,delta_energy_from_previous,energy_full,energy_full_minus_unit,removal_penalty,parameter_count,logical_2q_count,logical_depth,unit_logical_2q_count,unit_logical_depth,energy_gain_per_2q,energy_gain_per_depth,circuit_hash,removal_circuit_hash,full_circuit_hash
conventional_replay,15,logical_block,layer1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),53,-2.250583336887828,0.14306566196339376,0.6784636025975237,1.459564700783417,0.13814146731628293,1.799923545503382,1.661782078187099,15,38,15,2,1,0.7297823503917085,1.459564700783417,f9e22e09977f0788,77b626ed0c0ba041,095398cc69b229ab
conventional_replay,16,logical_block,layer1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),54,0.89660084519604,0.14306566196339376,2.284727709431295,-1.6062641068337715,0.13814146731628293,1.8145960146251476,1.6764545473088648,16,40,16,2,1,-0.8031320534168858,-1.6062641068337715,26e0e252ff104274,52902bb14a8440ca,095398cc69b229ab
conventional_replay,17,logical_block,layer1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),55,-2.6278533348106703,0.14306566196339376,3.1587331042123656,-0.8740053947810704,0.13814146731628293,0.8154036903554247,0.6772622230391417,17,42,17,2,1,-0.4370026973905352,-0.8740053947810704,a8659788cc15f8e5,bc58ed69e2410d07,095398cc69b229ab
conventional_replay,18,logical_block,layer1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),56,-1.6387724203139422,0.14306566196339376,0.7778322013159535,2.3809009028964123,0.13814146731628293,2.8296176711729877,2.6914762038567046,18,44,18,2,1,1.1904504514482062,2.3809009028964123,5c160ffb32adccb4,42e98c17ce43fd73,095398cc69b229ab
conventional_replay,19,logical_block,layer1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),57,2.7318317110053427,0.14306566196339376,1.508855375356405,-0.7310231740404514,0.13814146731628293,0.5451494929473932,0.40700802563111027,19,46,19,2,1,-0.3655115870202257,-0.7310231740404514,835a190f13e69ad4,0e422e424a605d41,095398cc69b229ab
conventional_replay,20,logical_block,layer1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),58,-1.4987448181619372,0.14306566196339376,2.537353980966481,-1.028498605610076,0.13814146731628293,2.819865164877301,2.681723697561018,20,48,20,2,1,-0.514249302805038,-1.028498605610076,686b5965d6a5e730,d9389cd40e39e09f,095398cc69b229ab
conventional_replay,21,logical_block,layer1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),59,0.02495643482259051,0.14306566196339376,2.592157124152382,-0.05480314318590107,0.13814146731628293,0.14129133898148774,0.0031498716652048064,21,50,21,2,1,-0.027401571592950535,-0.05480314318590107,47f623a9e818b575,8877ec13ca4d4d41,095398cc69b229ab
conventional_replay,22,logical_block,layer1:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),60,-2.6545760523522497,0.14306566196339376,3.201635785636772,-0.6094786614843901,0.13814146731628293,0.7538205735355675,0.6156791062192846,22,52,22,2,1,-0.30473933074219506,-0.6094786614843901,ea8d8de350e7d366,b5bfeecc538a1edc,095398cc69b229ab
conventional_replay,23,logical_block,layer2:hh_termwise_ham_quadrature_term(eyeezeee),hh_termwise_ham_quadrature_term(eyeezeee),61,0.12058068457050654,0.14306566196339376,3.182967901916558,0.018667883720214107,0.13814146731628293,0.14041910114612247,0.0022776338298395316,23,54,23,2,1,0.009333941860107053,0.018667883720214107,6c29c139a85b0fec,07f8750b19213cb9,095398cc69b229ab
conventional_replay,24,logical_block,layer2:hh_termwise_ham_quadrature_term(eyeeeeze),hh_termwise_ham_quadrature_term(eyeeeeze),62,1.2748737057473316,0.14306566196339376,2.643615711991897,0.5393521899246609,0.13814146731628293,0.3691760118150964,0.23103454449881347,24,56,24,2,1,0.26967609496233047,0.5393521899246609,e7f51c58912539d6,160dd6b5acf76fc9,095398cc69b229ab
conventional_replay,25,logical_block,layer2:hh_termwise_ham_quadrature_term(zyeezeee),hh_termwise_ham_quadrature_term(zyeezeee),63,-1.2051156465195474,0.14306566196339376,2.8223806245640346,-0.17876491257213756,0.13814146731628293,0.35995349147576877,0.22181202415948584,25,60,25,4,1,-0.04469122814303439,-0.17876491257213756,7c9361c7f8739567,80c954cf3b280ecc,095398cc69b229ab
conventional_replay,26,logical_block,layer2:hh_termwise_ham_quadrature_term(zyeeeeze),hh_termwise_ham_quadrature_term(zyeeeeze),64,0.016251352255269157,0.14306566196339376,2.8162947355925345,0.006085888971500086,0.13814146731628293,0.13805222717164603,-8.9240144636904e-05,26,64,26,4,1,0.0015214722428750216,0.006085888971500086,e410eab5d0e71e69,b1ab7ca842e9fbea,095398cc69b229ab
conventional_replay,27,logical_block,layer2:hh_termwise_ham_quadrature_term(eezyeeez),hh_termwise_ham_quadrature_term(eezyeeez),65,2.4424886141994757,0.14306566196339376,2.828127749170061,-0.011833013577526419,0.13814146731628293,0.8412030619688375,0.7030615946525546,27,68,27,4,1,-0.0029582533943816047,-0.011833013577526419,1372fe8afeea10e6,33243ca74c24baf4,095398cc69b229ab
conventional_replay,28,logical_block,layer2:hh_termwise_ham_quadrature_term(eezyezee),hh_termwise_ham_quadrature_term(eezyezee),66,0.9478315089175214,0.14306566196339376,3.0925212047162063,-0.26439345554614535,0.13814146731628293,0.255168098219809,0.11702663090352608,28,72,28,4,1,-0.06609836388653634,-0.26439345554614535,9cb3117cf9425116,758c167195b07195,095398cc69b229ab
conventional_replay,29,logical_block,layer2:hh_termwise_ham_quadrature_term(eeeyeeez),hh_termwise_ham_quadrature_term(eeeyeeez),67,-1.8617099108162511,0.14306566196339376,2.515936713713449,0.5765844910027571,0.13814146731628293,0.7223613001346687,0.5842198328183857,29,74,29,2,1,0.28829224550137855,0.5765844910027571,71e5a26d65017ff7,a92dd75d3b60c9bd,095398cc69b229ab
conventional_replay,30,logical_block,layer2:hh_termwise_ham_quadrature_term(eeeyezee),hh_termwise_ham_quadrature_term(eeeyezee),68,-0.4858937793676348,0.14306566196339376,2.5250407144462623,-0.009104000732813144,0.13814146731628293,0.1858481752146598,0.04770670789837686,30,76,30,2,1,-0.004552000366406572,-0.009104000732813144,160308d0634fcc9e,2064587cd8151ce9,095398cc69b229ab
conventional_replay,31,logical_block,layer2:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),69,2.2832703906566914,0.14306566196339376,1.242808155021886,1.2822325594243764,0.13814146731628293,1.408458884392945,1.2703174170766622,31,78,31,2,1,0.6411162797121882,1.2822325594243764,2576029b026dec78,137ca2f4188f1479,095398cc69b229ab
conventional_replay,32,logical_block,layer2:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),70,1.6452925828824552,0.14306566196339376,1.475855775524362,-0.23304762050247607,0.13814146731628293,2.378376815169029,2.240235347852746,32,80,32,2,1,-0.11652381025123804,-0.23304762050247607,cf10b813778ace45,cbc98ed1ba680354,095398cc69b229ab
conventional_replay,33,logical_block,layer2:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),71,-1.5607415235736721,0.14306566196339376,1.425369950129482,0.05048582539487989,0.13814146731628293,2.3934474819441958,2.2553060146279127,33,82,33,2,1,0.025242912697439945,0.05048582539487989,cf9dbb53f2615590,35471c37764cc402,095398cc69b229ab
conventional_replay,34,logical_block,layer2:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),72,-1.9824207687625424,0.14306566196339376,2.245841569514539,-0.820471619385057,0.13814146731628293,2.048992386081819,1.9108509187655363,34,84,34,2,1,-0.4102358096925285,-0.820471619385057,61e3c9c25a75bdb2,131e5d661ef6860f,095398cc69b229ab
conventional_replay,35,logical_block,layer2:hh_termwise_ham_unit_term(eeeexxee),hh_termwise_ham_unit_term(eeeexxee),73,-0.8551805393135629,0.14306566196339376,2.0482580107726065,0.19758355874193256,0.13814146731628293,1.4014237888662748,1.263282321549992,35,86,35,2,1,0.09879177937096628,0.19758355874193256,62f39bd1f4faebff,4b48027457b2baee,095398cc69b229ab
